WithdrawalHistory(WH),RepeatHistory(RH),MaritalStatus(MS),Gender(GND),Age,District(DSRCT),Religion(RLGN),StudentType(ST),ProgrammeCode(PC),EmploymentStatus(ES),ODLCenter(OC),DisabilityIndicator(DI),Vulnarability(VNBLT),IncomeSource(IS),CurrentResidence(CR),Target
No,No,SINGLE,M,0,Chikwawa,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Blantyre,,MATURE,BABM,Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Dowa,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Chikwawa,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Dedza,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Karonga,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Kasungu,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,Ntchisi,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Chitipa,,MATURE,BAAE,Employed,,No disability,"Qualified primary school teachers, teaching at CDSS",self,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,Balaka,,MATURE,BAAE,Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,0,NKHATA-BAY,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Mulanje,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Mulanje,,MATURE,BEXT,Employed,,Blind/Visual Impairment,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Kasungu,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Balaka,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Machinga,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Thyolo,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Zomba,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Dowa,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Chikwawa,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,CHILADZULU,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Zomba,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Blantyre,,GENERIC,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Dowa,,GENERIC,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Rumphi,,GENERIC,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Dowa,,GENERIC,BABM,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Karonga,,GENERIC,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Dedza,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Mzimba,,GENERIC,BABM,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Thyolo,,GENERIC,BABM,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Mwanza,,GENERIC,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Thyolo,,GENERIC,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Machinga,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Ntcheu,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Thyolo,,MATURE,BABM,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,CHILADZULU,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Ntcheu,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Balaka,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Dedza,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Nkhotakota,,MATURE,BAAE,Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Mangochi,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Blantyre,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Kasungu,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Salima,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Lilongwe,,MATURE,BAGI,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,CHILADZULU,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,Kasungu,,MATURE,BAGI,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,Chikwawa,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Blantyre,,MATURE,BABM,Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,0,CHILADZULU,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Karonga,,MATURE,BABM,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,Zomba,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Zomba,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Lilongwe,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,Mzimba,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Machinga,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Thyolo,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Kasungu,,MATURE,BAGI,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,Thyolo,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Mulanje,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Kasungu,,MATURE,BAGI,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Mzimba,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Lilongwe,,MATURE,BABM,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Phalombe,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,30,ZOMBA,,GENERIC,BAAE,Not Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,0,BALAKA,Christian,GENERIC,BEXT,Not Employed,BLANTYRE,,,,,Dropped
No,No,SINGLE,M,23,NSANJE,Christian,GENERIC,BAAE,Not Employed,MZUZU,,,,,Dropped
No,No,SINGLE,M,25,BALAKA,Christian,GENERIC,BAGI,Not Employed,BLANTYRE,,,,,Dropped
No,No,SINGLE,M,28,KARONGA,Christian,GENERIC,BEXT,Not Employed,MZUZU,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,0,MANGOCHI,christian,GENERIC,BEXT,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,31,DEDZA,,MATURE,BABM,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,26,RUMPHI,Christian ,GENERIC,BABM,Not Employed,MZUZU,,,,,Not Dropped
No,No,SINGLE,M,23,NTCHEU,Christian,GENERIC,BABM,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,31,MZIMBA,christian,MATURE,BAAE,Not Employed,BLANTYRE,,,,,Dropped
No,No,SINGLE,M,29,NKHOTAKOTA,,GENERIC,BAAE,Not Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,25,SALIMA,,GENERIC,BAGI,Not Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,29,KARONGA,Christian,MATURE,BAAE,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,33,MZIMBA,,MATURE,BEXT,Not Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,0,CHIKWAWA,,GENERIC,BAAE,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,31,DEDZA,Christian,MATURE,BABM,Not Employed,MZUZU,,,,,Not Dropped
No,No,SINGLE,M,32,THYOLO,,GENERIC,BABM,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,36,CHITIPA,,MATURE,BEXT,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,23,MCHINJI,,GENERIC,BAAE,Not Employed,LILONGWE,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,M,25,MULANJE,,GENERIC,BAAE,Not Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,27,KARONGA,,GENERIC,BABM,Not Employed,MZUZU,,,,,Not Dropped
No,No,SINGLE,M,28,CHILADZULU,,GENERIC,BAAE,Not Employed,LILONGWE,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,27,MZIMBA,,GENERIC,BAAE,Not Employed,BLANTYRE,No disability,Adolecent Girls & Young Women (AGYM),parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,26,NTCHEU,,GENERIC,BAAE,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,27,MANGOCHI,,GENERIC,BAAE,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,27,MACHINGA,,GENERIC,BAGI,Not Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,23,MCHINJI,,GENERIC,BABM,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,36,MZIMBA,,GENERIC,BAAE,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,26,NTCHEU,,GENERIC,BAAE,Not Employed,BLANTYRE,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,28,CHITIPA,,GENERIC,BEXT,Not Employed,MZUZU,,,,,Dropped
No,No,SINGLE,M,27,NTCHEU,,GENERIC,BABM,Not Employed,LILONGWE,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,M,29,BALAKA,,GENERIC,BABM,Not Employed,BLANTYRE,,,,,Dropped
No,No,SINGLE,M,30,ZOMBA,,GENERIC,BAAE,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,25,MULANJE,,GENERIC,BAAE,Not Employed,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,29,NKHATA-BAY,Christian,GENERIC,BAGI,Not Employed,BLANTYRE,,,,,Dropped
No,No,SINGLE,M,25,LILONGWE,,GENERIC,BABM,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,25,MCHINJI,,GENERIC,BAAE,Not Employed,LILONGWE,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,26,KASUNGU,,GENERIC,BEXT,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,0,LILONGWE,,GENERIC,BEXT,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,24,NTCHEU,,GENERIC,BAAE,Not Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,0,THYOLO,,GENERIC,BEXT,Not Employed,BLANTYRE,,,,,Dropped
No,No,SINGLE,M,27,MZIMBA,,GENERIC,BAAE,Not Employed,MZUZU,,,,,Dropped
No,No,SINGLE,M,32,THYOLO,,GENERIC,BAAE,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,27,KARONGA,,GENERIC,BAAE,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,27,CHITIPA,,GENERIC,BAAE,Not Employed,MZUZU,,,,,Dropped
No,No,SINGLE,M,26,DEDZA,,GENERIC,BABM,Not Employed,LILONGWE,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,M,32,NTCHEU,,MATURE,BABM,Not Employed,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,33,THYOLO,,MATURE,BAGI,Not Employed,BLANTYRE,,,,,Dropped
No,No,SINGLE,M,32,KARONGA,,MATURE,BAAE,Not Employed,MZUZU,,,,,Not Dropped
No,No,SINGLE,M,37,NTCHISI,,GENERIC,BAAE,Not Employed,BLANTYRE,,,,,Dropped
No,No,SINGLE,M,25,MZIMBA,,GENERIC,BABM,Not Employed,MZUZU,No disability,Not Applicable,Scholarship,I stay within same district,Not Dropped
No,No,SINGLE,M,0,MULANJE,,GENERIC,BAAE,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,31,RUMPHI,,MATURE,BEXT,Not Employed,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,24,KASUNGU,Christian,GENERIC,BEXT,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,27,NENO,,MATURE,BABM,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,23,NSANJE,,GENERIC,BAGI,Not Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,26,CHIKWAWA,,GENERIC,BAGI,Not Employed,BLANTYRE,,,,,Dropped
No,No,SINGLE,M,33,NTCHEU,Christian,MATURE,BEXT,Not Employed,BLANTYRE,,,,,Dropped
No,No,SINGLE,M,35,RUMPHI,Christian,MATURE,BEXT,Not Employed,MZUZU,,,,,Dropped
No,No,SINGLE,M,32,KASUNGU,Christian,MATURE,BABM,Not Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,33,CHITIPA,Christian,MATURE,BEXT,Not Employed,MZUZU,,,,,Not Dropped
No,No,SINGLE,M,23,CHITIPA,Christian,GENERIC,BABM,Not Employed,MZUZU,,,,,Not Dropped
No,No,SINGLE,M,30,LILONGWE,,GENERIC,BABM,Not Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,32,MWANZA,Christian,GENERIC,BABM,Not Employed,BLANTYRE,,,,,Dropped
